District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Hanumakonda,Damera,25-Nov-22,0,18.7,32.6,42.5,91.5,0.0,3.2
Hanumakonda,Dharmasagar,09-Nov-22,0,15.9,34.4,39.5,95.3,0.0,6.9
Hanumakonda,Dharmasagar,14-Nov-22,0,16.0,32.6,42.5,94.8,0.0,1.1
Hanumakonda,Dharmasagar,24-Nov-22,0,18.9,34.3,47.1,93.4,0.0,5.0
Hanumakonda,Elkathurthi,05-Nov-22,0,17.3,32.9,48.4,100.0,0.0,0.0
Hanumakonda,Elkathurthi,23-Nov-22,0,19.3,32.8,43.5,100.0,0.0,0.7
Hanumakonda,Elkathurthi,25-Nov-22,0,16.7,32.6,43.7,100.0,0.0,0.1
Hanumakonda,Hanumakonda,28-Nov-22,0,15.7,32.8,48.8,86.4,0.0,5.1
Hanumakonda,Hasanparthy,07-Nov-22,0,19.5,33.8,38.3,100.0,0.0,1.8
Hanumakonda,Hasanparthy,17-Nov-22,0,15.4,32.2,33.6,92.7,0.0,0.9
Hanumakonda,Inole,10-Nov-22,0,16.9,32.8,32.6,99.8,0.0,7.1
Hanumakonda,Inole,18-Nov-22,0,15.8,33.0,18.8,84.7,0.0,11.7
Hanumakonda,Kamalapur,05-Nov-22,0,19.6,32.8,45.6,100.0,0.0,3.3
Hanumakonda,Kamalapur,21-Nov-22,0,18.7,28.8,30.7,76.3,0.0,7.3
Hanumakonda,Kamalapur,23-Nov-22,0,21.3,33.7,40.9,85.5,0.0,7.0
Hanumakonda,Khazipet,02-Nov-22,0,21.1,27.1,59.5,86.9,0.0,2.2
Hanumakonda,Khazipet,06-Nov-22,0,18.5,33.0,42.7,100.0,0.0,6.4
Hanumakonda,Nadikuda,15-Nov-22,0,16.1,31.7,45.8,100.0,0.0,3.4
Hanumakonda,Parkal,12-Nov-22,0,17.8,30.5,49.6,98.5,0.0,7.5
Hanumakonda,Parkal,15-Nov-22,0,16.8,30.2,53.9,100.0,0.0,2.9
Hanumakonda,Shayampet,01-Nov-22,0,19.1,30.6,53.7,95.5,0.0,4.6
Hanumakonda,Shayampet,07-Nov-22,0,18.6,35.1,57.5,99.9,0.0,4.8
Hanumakonda,Velair,22-Nov-22,0,21.1,29.0,45.3,85.1,0.0,2.5
Hanumakonda,Velair,29-Nov-22,0,11.5,30.2,33.5,98.4,0.0,3.1
Hyderabad,Amberpet,05-Nov-22,0,22.4,30.4,51.7,92.0,0.0,1.7
Hyderabad,Amberpet,23-Nov-22,0,22.9,29.9,42.9,82.2,0.0,33.7
Hyderabad,Amberpet,25-Nov-22,0,21.9,28.3,52.7,83.1,0.0,33.1
Hyderabad,Ameerpet,16-Nov-22,0,18.0,30.2,46.5,75.9,0.0,1.2
Hyderabad,Asifnagar,09-Nov-22,0,19.7,32.4,18.5,73.5,0.0,22.0
Hyderabad,Asifnagar,14-Nov-22,0,20.6,31.3,35.6,74.1,0.0,22.8
Hyderabad,Asifnagar,24-Nov-22,0,23.2,29.9,43.6,87.1,0.0,6.0
Hyderabad,Bahadurpura,16-Nov-22,0,16.6,32.4,25.3,74.4,0.0,3.4
Hyderabad,Bandlaguda,02-Nov-22,0,20.9,26.1,57.4,89.7,0.0,8.6
Hyderabad,Bandlaguda,20-Nov-22,0,17.0,28.1,35.7,66.0,0.0,13.9
Hyderabad,Charminar,07-Nov-22,0,19.1,31.8,36.4,83.2,0.0,3.9
Hyderabad,Charminar,11-Nov-22,0,20.3,30.2,39.7,71.7,0.0,5.6
Hyderabad,Golkonda,12-Nov-22,0,21.2,30.9,32.2,69.6,0.0,13.6
Hyderabad,Golkonda,15-Nov-22,0,17.7,31.1,40.7,81.2,0.0,8.5
Hyderabad,Himayatnagar,22-Nov-22,0,22.3,29.2,32.7,62.3,0.0,26.1
Hyderabad,Himayatnagar,26-Nov-22,0,21.5,30.5,47.9,62.7,0.0,37.8
Hyderabad,Himayatnagar,29-Nov-22,0,19.5,30.8,32.3,64.1,0.0,15.4
Hyderabad,Himayatnagar,30-Nov-22,0,18.8,29.6,14.5,67.5,0.0,54.2
Hyderabad,Khairatabad,04-Nov-22,0,22.1,32.9,37.3,83.7,0.0,6.2
Hyderabad,Khairatabad,30-Nov-22,0,17.2,31.9,21.7,70.2,0.0,2.8
Hyderabad,Musheerabad,10-Nov-22,0,19.8,29.8,41.0,78.0,0.0,2.9
Hyderabad,Musheerabad,18-Nov-22,0,19.8,30.4,23.0,72.3,0.0,3.7
Hyderabad,Nampally,09-Nov-22,0,19.2,31.4,27.5,73.2,0.0,65.1
Hyderabad,Nampally,14-Nov-22,0,20.7,31.7,42.7,71.0,0.0,65.1
Hyderabad,Nampally,24-Nov-22,0,23.2,29.9,49.8,81.1,0.0,1.7
Hyderabad,Saidabad,16-Nov-22,0,17.9,31.0,36.9,72.4,0.0,3.7
Hyderabad,Secunderabad,02-Nov-22,0,21.2,25.7,57.2,100.0,0.0,2.5
Hyderabad,Secunderabad,06-Nov-22,0,19.5,31.2,45.5,76.1,0.0,4.5
Hyderabad,Secunderabad,20-Nov-22,0,16.4,27.5,36.7,68.9,0.0,4.3
Hyderabad,Tirumalgiri,02-Nov-22,0,20.4,25.9,64.6,89.4,0.0,6.6
Hyderabad,Tirumalgiri,06-Nov-22,0,17.8,31.3,53.6,81.3,0.0,9.6
Hyderabad,Tirumalgiri,20-Nov-22,0,16.4,27.0,46.3,68.1,0.0,12.6
Jagtial,Buggaram,01-Nov-22,0,18.7,30.2,44.9,100.0,0.0,5.3
Jagtial,Buggaram,07-Nov-22,0,19.1,33.3,32.0,100.0,0.0,0.4
Jagtial,Buggaram,08-Nov-22,0,18.4,32.7,46.9,100.0,0.0,7.0
Jagtial,Buggaram,11-Nov-22,0,17.9,31.2,36.5,100.0,0.0,5.3
Jagtial,Buggaram,13-Nov-22,0,17.7,31.1,41.4,100.0,0.0,8.8
Jagtial,Buggaram,17-Nov-22,0,15.7,30.6,32.8,100.0,0.0,6.3
Jagtial,Dharmapuri,04-Nov-22,0,16.2,33.8,37.6,100.0,0.0,4.4
Jagtial,Dharmapuri,22-Nov-22,0,18.3,34.8,25.5,91.0,0.0,5.1
Jagtial,Dharmapuri,26-Nov-22,0,14.2,34.7,23.6,100.0,0.0,5.0
Jagtial,Dharmapuri,29-Nov-22,0,12.6,34.2,26.5,100.0,0.0,7.1
Jagtial,Gollapalle,05-Nov-22,0,15.1,32.2,39.9,99.7,0.0,6.5
Jagtial,Gollapalle,23-Nov-22,0,19.1,31.8,22.2,91.0,0.0,6.7
Jagtial,Gollapalle,25-Nov-22,0,17.2,31.9,40.6,98.9,0.0,5.7
Jagtial,Ibrahimpatnam,16-Nov-22,0,14.5,34.5,32.1,97.0,0.0,4.6
Jagtial,Ibrahimpatnam,28-Nov-22,0,16.7,34.3,32.6,96.4,0.0,4.8
Jagtial,Jagityal_Rural,18-Nov-22,0,17.4,32.5,32.3,95.0,0.0,17.7
Jagtial,Jagityal_Rural,27-Nov-22,0,12.9,32.2,34.1,96.4,0.0,5.6
Jagtial,Jagtial,28-Nov-22,0,10.8,30.6,36.6,99.9,0.0,5.0
Jagtial,Kathlapur,09-Nov-22,0,16.9,34.7,25.1,99.9,0.0,5.5
Jagtial,Kathlapur,14-Nov-22,0,17.2,32.1,39.4,99.9,0.0,6.5
Jagtial,Kodimial,12-Nov-22,0,14.5,30.0,29.5,98.2,0.0,12.7
Jagtial,Kodimial,15-Nov-22,0,13.4,30.2,32.7,100.0,0.0,9.0
Jagtial,Koratla,28-Nov-22,0,12.0,32.9,21.5,100.0,0.0,2.9
Jagtial,Mallapur,09-Nov-22,0,15.9,34.0,24.8,100.0,0.0,5.7
Jagtial,Mallapur,14-Nov-22,0,16.5,32.8,37.7,97.5,0.0,3.8
Jagtial,Mallapur,24-Nov-22,0,18.1,33.6,39.5,97.8,0.0,8.2
Jagtial,Medipalle,19-Nov-22,0,13.6,30.6,33.2,95.9,0.0,11.5
Jagtial,Medipalle,27-Nov-22,0,12.9,32.9,30.7,99.9,0.0,8.5
Jagtial,Metpalle,06-Nov-22,0,16.5,34.6,35.6,99.3,0.0,4.3
Jagtial,Metpalle,20-Nov-22,0,11.8,28.2,40.6,96.8,0.0,5.4
Jagtial,Pegadapalle,24-Nov-22,0,17.1,32.9,42.3,96.9,0.0,4.6
Jagtial,Raikal,12-Nov-22,0,14.6,32.2,30.6,99.9,0.0,0.4
Jagtial,Raikal,15-Nov-22,0,13.6,31.5,34.3,97.8,0.0,3.1
Jagtial,Sarangapur,20-Nov-22,0,11.3,29.1,41.9,94.7,0.0,3.8
Jagtial,Velgatoor,12-Nov-22,0,17.1,34.9,34.6,100.0,0.0,12.4
Jangaon,Bachannapeta,28-Nov-22,0,12.3,32.0,30.7,87.5,0.0,10.5
Jangaon,Chilpur,05-Nov-22,0,19.3,32.2,56.6,99.9,0.0,1.0
Jangaon,Chilpur,23-Nov-22,0,20.7,32.3,54.3,95.5,0.0,0.2
Jangaon,Chilpur,25-Nov-22,0,17.6,34.5,55.6,95.6,0.0,3.1
Jangaon,Devaruppala,01-Nov-22,0,18.3,30.9,45.4,93.8,0.0,12.6
Jangaon,Devaruppala,07-Nov-22,0,17.6,32.8,40.9,97.1,0.0,10.8
Jangaon,Devaruppala,08-Nov-22,0,16.5,33.0,38.0,96.8,0.0,14.3
Jangaon,Devaruppala,11-Nov-22,0,18.2,31.8,43.1,90.4,0.0,14.8
Jangaon,Devaruppala,13-Nov-22,0,17.5,32.1,46.5,93.9,0.0,10.2
Jangaon,Devaruppala,17-Nov-22,0,13.5,31.8,31.7,89.3,0.0,10.2
Jangaon,Ganpur_Stn,03-Nov-22,0,18.6,32.8,48.8,100.0,0.0,7.8
Jangaon,Ganpur_Stn,04-Nov-22,0,18.6,33.8,48.8,100.0,0.0,7.6
Jangaon,Ganpur_Stn,30-Nov-22,0,12.9,29.9,38.3,96.7,0.0,9.0
Jangaon,Kodakandla,21-Nov-22,0,21.1,29.1,34.3,62.8,2.6,9.7
Jangaon,Kodakandla,23-Nov-22,0,22.9,32.4,46.8,88.7,0.0,10.8
Jangaon,Lingalaghanpur,01-Nov-22,0,18.4,29.1,49.8,100.0,0.0,17.3
Jangaon,Lingalaghanpur,08-Nov-22,0,16.6,31.5,34.9,100.0,0.0,0.5
Jangaon,Lingalaghanpur,11-Nov-22,0,18.7,30.0,43.4,89.4,0.0,10.8
Jangaon,Lingalaghanpur,13-Nov-22,0,17.4,30.0,47.1,91.8,0.0,5.7
Jangaon,Lingalaghanpur,17-Nov-22,0,13.9,29.8,26.8,92.9,0.0,2.1
Jangaon,Narmetta,12-Nov-22,0,16.5,29.6,39.6,95.7,0.0,9.0
Jangaon,Narmetta,15-Nov-22,0,15.5,31.6,46.8,95.2,0.0,5.4
Jangaon,Palakurthi,10-Nov-22,0,15.8,34.2,41.2,100.0,0.0,8.4
Jangaon,Palakurthi,18-Nov-22,0,12.9,32.9,28.5,100.0,0.0,13.6
Jangaon,Raghunathpalle,19-Nov-22,0,14.8,29.5,40.0,94.5,0.0,13.2
Jangaon,Raghunathpalle,27-Nov-22,0,13.4,30.4,37.1,95.3,0.0,8.4
Jangaon,Tharigoppula,07-Nov-22,0,17.2,32.1,37.2,99.3,0.0,7.9
Jangaon,Tharigoppula,17-Nov-22,0,12.2,31.9,27.6,95.4,0.0,7.2
Jangaon,Zaffergadh,22-Nov-22,0,21.0,30.0,42.9,93.2,0.0,8.1
Jangaon,Zaffergadh,26-Nov-22,0,15.3,33.1,31.6,98.9,0.0,2.9
Jangaon,Zaffergadh,29-Nov-22,0,11.9,32.0,28.6,100.0,0.0,3.4
Jayashankar,Bhupalpalle,02-Nov-22,0,23.1,31.4,68.3,100.0,0.0,0.9
Jayashankar,Bhupalpalle,06-Nov-22,0,20.1,36.1,41.7,100.0,0.0,4.1
Jayashankar,Chityal,05-Nov-22,0,17.9,33.6,44.6,99.8,0.0,5.0
Jayashankar,Chityal,25-Nov-22,0,17.4,33.0,41.3,93.7,0.0,3.9
Jayashankar,Ghanapur_Mulug,01-Nov-22,0,19.4,31.5,54.8,96.1,0.0,0.3
Jayashankar,Ghanapur_Mulug,07-Nov-22,0,19.7,32.8,55.3,100.0,0.0,0.1
Jayashankar,Ghanapur_Mulug,17-Nov-22,0,14.5,32.0,40.3,100.0,0.0,1.5
Jayashankar,Mahadevpur,20-Nov-22,0,14.3,30.3,44.7,100.0,0.0,11.7
Jayashankar,Malharrao,16-Nov-22,0,12.4,31.9,39.7,100.0,0.0,5.0
Jayashankar,Mogullapalle,01-Nov-22,0,18.8,32.3,57.3,99.9,0.0,6.5
Jayashankar,Mogullapalle,07-Nov-22,0,18.3,33.7,44.7,100.0,0.0,5.2
Jayashankar,Mogullapalle,08-Nov-22,0,16.6,33.7,41.4,100.0,0.0,6.2
Jayashankar,Mogullapalle,11-Nov-22,0,16.7,32.6,44.4,100.0,0.0,7.2
Jayashankar,Mogullapalle,13-Nov-22,0,16.4,32.6,44.4,100.0,0.0,7.6
Jayashankar,Mogullapalle,17-Nov-22,0,12.9,32.4,34.0,100.0,0.0,9.1
Jayashankar,Mutharam_Mahadevpur,09-Nov-22,0,17.1,32.1,47.7,99.1,0.0,0.0
Jayashankar,Mutharam_Mahadevpur,14-Nov-22,0,15.5,31.9,52.8,95.0,0.0,9.9
Jayashankar,Mutharam_Mahadevpur,24-Nov-22,0,19.1,32.4,60.5,93.4,0.0,6.4
Jayashankar,Palmela,12-Nov-22,0,17.9,31.9,51.8,98.5,0.0,0.3
Jayashankar,Palmela,15-Nov-22,0,16.4,31.5,51.0,99.4,0.0,0.0
Jayashankar,Regonda,02-Nov-22,0,20.7,29.1,68.7,100.0,0.0,3.0
Jayashankar,Regonda,06-Nov-22,0,17.0,35.8,30.8,100.0,0.0,6.1
Jayashankar,Tekumatla,18-Nov-22,0,14.5,33.0,34.8,99.9,0.0,10.4
Jayashankar,Tekumatla,27-Nov-22,0,13.0,32.7,32.1,99.9,0.0,10.3
Jogulamba Gadwal,Alampur,21-Nov-22,0,19.2,30.6,34.7,73.2,0.0,10.8
Jogulamba Gadwal,Dharur,27-Nov-22,0,17.4,32.2,38.4,92.2,0.0,9.0
Jogulamba Gadwal,Gadwal,07-Nov-22,0,17.5,32.8,31.0,100.0,0.0,5.9
Jogulamba Gadwal,Gadwal,08-Nov-22,0,16.3,32.5,33.0,100.0,0.0,5.4
Jogulamba Gadwal,Ghattu,16-Nov-22,0,18.0,30.4,50.7,100.0,0.0,7.2
Jogulamba Gadwal,Itikyal,01-Nov-22,0,19.9,31.2,38.4,100.0,0.0,4.3
Jogulamba Gadwal,Itikyal,11-Nov-22,0,19.3,30.3,55.2,100.0,0.0,7.6
Jogulamba Gadwal,Itikyal,13-Nov-22,0,21.0,30.3,56.7,100.0,0.0,7.8
Jogulamba Gadwal,Itikyal,17-Nov-22,0,15.1,32.1,27.8,100.0,0.0,4.7
Jogulamba Gadwal,Kaloor_Timmanadoddi,04-Nov-22,0,20.7,32.9,43.2,100.0,0.0,12.8
Jogulamba Gadwal,Kaloor_Timmanadoddi,22-Nov-22,0,19.8,25.8,44.6,100.0,0.0,7.1
Jogulamba Gadwal,Kaloor_Timmanadoddi,26-Nov-22,0,20.7,33.0,45.3,96.4,0.0,12.1
Jogulamba Gadwal,Maldakal,05-Nov-22,0,21.0,31.8,56.5,99.9,0.0,11.6
Jogulamba Gadwal,Maldakal,21-Nov-22,0,16.7,27.3,41.8,90.8,0.0,7.5
Jogulamba Gadwal,Maldakal,23-Nov-22,0,22.1,31.1,52.1,94.2,0.0,9.1
Jogulamba Gadwal,Maldakal,25-Nov-22,0,20.9,31.9,54.8,99.4,0.0,7.6
Jogulamba Gadwal,Manopad,24-Nov-22,0,19.9,29.7,56.2,96.8,3.4,13.6
Jogulamba Gadwal,Undavelli,03-Nov-22,0,21.6,30.5,63.8,100.0,0.0,9.2
Jogulamba Gadwal,Undavelli,04-Nov-22,0,19.8,31.5,57.6,100.0,0.0,11.7
Jogulamba Gadwal,Undavelli,30-Nov-22,0,13.3,31.8,38.8,100.0,0.0,4.6
Jogulamba Gadwal,Waddepalle,03-Nov-22,0,22.0,29.7,53.5,100.0,0.0,7.1
Jogulamba Gadwal,Waddepalle,04-Nov-22,0,20.7,31.8,46.3,100.0,0.0,8.4
Jogulamba Gadwal,Waddepalle,29-Nov-22,0,17.1,31.8,43.5,99.4,0.0,5.3
Jogulamba Gadwal,Waddepalle,30-Nov-22,0,15.3,32.0,35.3,85.5,0.0,3.4
Kamareddy,Banswada,12-Nov-22,0,15.0,30.9,50.6,99.1,0.0,14.9
Kamareddy,Bhiknur,20-Nov-22,0,11.5,30.7,39.1,95.5,0.0,6.1
Kamareddy,Bibipet,21-Nov-22,0,14.6,26.6,39.4,87.8,0.0,5.1
Kamareddy,Bichkunda,01-Nov-22,0,15.1,30.5,28.7,100.0,0.0,10.7
Kamareddy,Bichkunda,08-Nov-22,0,15.7,33.0,29.0,100.0,0.0,10.0
Kamareddy,Bichkunda,11-Nov-22,0,13.5,32.4,25.2,100.0,0.0,7.3
Kamareddy,Bichkunda,13-Nov-22,0,14.0,31.9,26.5,100.0,0.0,14.6
Kamareddy,Bichkunda,17-Nov-22,0,12.4,32.0,20.1,100.0,0.0,9.8
Kamareddy,Birkoor,05-Nov-22,0,13.4,32.1,31.3,99.3,0.0,5.0
Kamareddy,Birkoor,23-Nov-22,0,17.9,30.2,32.9,86.3,0.0,7.5
Kamareddy,Birkoor,25-Nov-22,0,17.5,31.2,44.0,96.4,0.0,4.3
Kamareddy,Domakonda,02-Nov-22,0,18.8,30.6,52.0,100.0,0.0,2.1
Kamareddy,Domakonda,06-Nov-22,0,14.3,31.8,36.3,100.0,0.0,6.4
Kamareddy,Gandhari,10-Nov-22,0,12.5,30.2,25.0,100.0,0.0,5.5
Kamareddy,Gandhari,18-Nov-22,0,11.9,30.6,23.1,99.9,0.0,9.2
Kamareddy,Jukkal,18-Nov-22,0,13.5,30.6,34.7,90.8,0.0,8.9
Kamareddy,Jukkal,19-Nov-22,0,13.0,28.9,39.0,92.8,0.0,12.6
Kamareddy,Kamareddy,01-Nov-22,0,16.5,31.3,26.7,82.3,0.0,6.0
Kamareddy,Kamareddy,07-Nov-22,0,14.0,32.4,29.8,89.2,0.0,10.4
Kamareddy,Kamareddy,08-Nov-22,0,15.6,32.8,29.1,89.2,0.0,11.2
Kamareddy,Kamareddy,17-Nov-22,0,11.2,31.9,24.9,81.3,0.0,9.9
Kamareddy,Lingampet,05-Nov-22,0,13.4,31.8,43.1,97.8,0.0,5.9
